Date,Open,High,Low,Close
2010-01-31,1.0349,1.0638,1.0131,1.0606
2010-02-28,1.0616,1.0897,1.0497,1.0731
2010-03-31,1.0742,1.0885,1.0488,1.0538
2010-04-30,1.0537,1.0923,1.0435,1.0774
2010-05-31,1.0756,1.1694,1.0755,1.1549
2010-06-30,1.155,1.1729,1.0752,1.0777
2010-07-31,1.0777,1.0788,1.0362,1.041
2010-08-31,1.0402,1.0626,1.0136,1.0143
2010-09-30,1.0142,1.0275,0.9708,0.9832
2010-10-31,0.9833,0.9928,0.9464,0.9822
2010-11-30,0.9826,1.0052,0.9547,1.0035
2010-12-31,1.0036,1.0065,0.9298,0.9345
2011-01-31,0.9336,0.9782,0.9322,0.9442
2011-02-28,0.9443,0.9775,0.9234,0.9286
2011-03-31,0.9287,0.9369,0.8918,0.9182
2011-04-30,0.9183,0.934,0.8626,0.8653
2011-05-31,0.8643,0.8946,0.8465,0.854
2011-06-30,0.8538,0.8551,0.8276,0.8415
2011-07-31,0.8412,0.8526,0.7852,0.7854
2011-08-31,0.7933,0.8241,0.7079,0.8066
2011-09-30,0.8066,0.9182,0.7712,0.9078
2011-10-31,0.9098,0.9315,0.8569,0.8781
2011-11-30,0.8779,0.933,0.8762,0.914
2011-12-31,0.914,0.9548,0.9071,0.938
2012-01-31,0.9375,0.9595,0.9115,0.9198
2012-02-29,0.9197,0.93,0.8931,0.9045
2012-03-31,0.9045,0.9335,0.9009,0.9024
2012-04-30,0.9012,0.9251,0.9002,0.9071
2012-05-31,0.9072,0.9734,0.9043,0.9715
2012-06-30,0.9717,0.9768,0.942,0.9486
2012-07-31,0.948,0.997,0.948,0.9765
2012-08-31,0.9765,0.9896,0.9501,0.9547
2012-09-30,0.9543,0.9606,0.9237,0.9397
2012-10-31,0.9404,0.9436,0.9213,0.9315
2012-11-30,0.9315,0.9509,0.9245,0.9281
2012-12-31,0.9273,0.938,0.9082,0.9145
2013-01-31,0.9091,0.9387,0.9074,0.91
2013-02-28,0.91,0.9372,0.9021,0.9364
2013-03-31,0.9364,0.9565,0.935,0.9489
2013-04-30,0.9497,0.9525,0.9205,0.9293
2013-05-31,0.9293,0.9837,0.9246,0.9563
2013-06-30,0.9572,0.9624,0.913,0.9445
2013-07-31,0.9446,0.975,0.9228,0.9262
2013-08-31,0.9261,0.9396,0.9147,0.9304
2013-09-30,0.9312,0.9455,0.902,0.9049
2013-10-31,0.9049,0.9178,0.889,0.9069
2013-11-30,0.907,0.9249,0.9028,0.9065
2013-12-31,0.9059,0.9109,0.88,0.892
2014-01-31,0.8918,0.9156,0.8903,0.9067
2014-02-28,0.9064,0.9081,0.8777,0.8794
2014-03-31,0.8784,0.8898,0.8698,0.8841
2014-04-30,0.8841,0.8952,0.8743,0.88
2014-05-31,0.88,0.8989,0.8703,0.8954
2014-06-30,0.8952,0.9036,0.8862,0.8866
2014-07-31,0.8866,0.9106,0.8856,0.9087
2014-08-31,0.9087,0.9184,0.9023,0.918
2014-09-30,0.9185,0.9596,0.9174,0.955
2014-10-31,0.955,0.9683,0.9359,0.9625
2014-11-30,0.9643,0.9741,0.9531,0.9658
2014-12-31,0.9669,0.9944,0.9552,0.9942
2015-01-31,0.9935,1.0237,0.7064,0.9175
2015-02-28,0.9233,0.9545,0.9175,0.9534
2015-03-31,0.9538,1.0126,0.9491,0.9722
